"x";"HAADF";"Co";"Ni";"Ru"
"Position";"Intensity";"Atomic fraction";"Atomic fraction";"Atomic fraction"
"m";"Counts";"mol/mol";"mol/mol";"mol/mol"
2.825031e-08;3.576301e+04;4.052395e-01;4.631298e-01;1.316311e-01
2.834324e-08;3.577057e+04;4.112239e-01;4.584309e-01;1.303456e-01
2.843617e-08;3.578155e+04;4.127516e-01;4.616337e-01;1.256147e-01
2.852910e-08;3.577566e+04;4.094594e-01;4.617519e-01;1.287888e-01
2.862202e-08;3.578239e+04;4.058580e-01;4.651481e-01;1.289939e-01
2.871495e-08;3.579020e+04;4.043920e-01;4.651136e-01;1.304940e-01
2.880788e-08;3.579179e+04;4.123271e-01;4.658608e-01;1.218122e-01
2.890081e-08;3.578999e+04;4.127560e-01;4.571286e-01;1.301149e-01
2.899374e-08;3.579107e+04;4.122479e-01;4.584509e-01;1.293007e-01
2.908667e-08;3.579792e+04;4.041440e-01;4.634007e-01;1.324552e-01
2.917960e-08;3.580232e+04;4.141939e-01;4.631733e-01;1.226334e-01
2.927253e-08;3.580289e+04;4.172703e-01;4.633298e-01;1.193997e-01
2.936545e-08;3.579979e+04;4.074444e-01;4.686733e-01;1.238820e-01
2.945838e-08;3.580802e+04;4.038834e-01;4.674411e-01;1.286751e-01
2.955131e-08;3.581114e+04;4.086377e-01;4.648349e-01;1.265273e-01
2.964424e-08;3.580998e+04;4.139085e-01;4.655842e-01;1.205078e-01
2.973717e-08;3.580903e+04;4.133690e-01;4.572062e-01;1.294250e-01
2.983010e-08;3.581362e+04;4.134258e-01;4.612882e-01;1.252860e-01
2.992303e-08;3.581431e+04;4.096113e-01;4.635145e-01;1.268739e-01
3.001595e-08;3.580987e+04;4.131617e-01;4.610171e-01;1.258217e-01
3.010888e-08;3.581489e+04;4.115341e-01;4.627059e-01;1.257599e-01
3.020181e-08;3.581095e+04;4.073338e-01;4.628899e-01;1.297766e-01
3.029474e-08;3.580670e+04;4.095794e-01;4.664643e-01;1.239566e-01
3.038767e-08;3.581146e+04;4.085546e-01;4.649952e-01;1.264500e-01
3.048060e-08;3.581688e+04;4.053371e-01;4.621532e-01;1.325099e-01
3.057353e-08;3.581672e+04;4.072567e-01;4.677088e-01;1.250345e-01
